,Unnamed: 0,brand,model,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,country
8547,8547,Mazda,CX-5,134900.0,2021,1,165.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8548,8548,Hyundai,Sonata Hybrid,55000.0,2017,2,154.0,0,hybrid,2.0,0,0,0,0,0,0,South Korea
8549,8549,Mazda,3,69000.0,2019,2,165.0,0,petrol,2.0,0,0,0,0,0,0,Japan
8550,8550,Nissan,Qashqai,92000.0,2019,1,115.0,0,diesel,1.5,0,0,0,0,0,0,Japan
8551,8551,Chevrolet,Traverse,55000.0,2013,3,288.0,1,electric,3.6,0,0,0,0,0,0,United States
8552,8552,Hyundai,i40,30000.0,2015,3,177.0,0,petrol,2.0,0,0,0,0,0,0,South Korea
8553,8553,Volkswagen,Tiguan,179500.0,2022,1,150.0,0,petrol,1.5,0,0,0,0,0,0,Germany
8554,8554,Peugeot,3008,80999.0,2019,3,130.0,0,petrol,1.2,0,0,0,0,0,0,France
8555,8555,Hyundai,Sonata Hybrid,128000.0,2023,1,192.0,0,hybrid,2.0,0,0,0,0,0,0,South Korea
8556,8556,Hyundai,Ioniq,57900.0,2017,2,141.0,0,hybrid,1.6,0,0,0,0,0,0,South Korea
8557,8557,Peugeot,107,10500.0,2010,6,70.0,0,petrol,1.0,0,0,0,0,0,0,France
8558,8558,Hyundai,Tucson,86000.0,2019,2,155.0,0,petrol,2.0,0,0,0,0,0,0,South Korea
8559,8559,Suzuki,SX4 crossover,90000.0,2019,2,140.0,0,petrol,1.4,0,0,0,0,0,0,Japan
8560,8560,Hyundai,i25,36000.0,2016,2,124.0,0,petrol,1.6,0,0,0,0,0,0,South Korea
8561,8561,Toyota,Corolla Hybrid,98500.0,2019,1,98.0,0,petrol,1.8,0,0,0,0,0,0,Japan
8562,8562,Nissan,Micra,35000.0,2018,1,80.0,0,petrol,1.2,0,0,0,0,0,0,Japan
8563,8563,Toyota,C-HR,129500.0,2021,1,98.0,0,hybrid,1.8,0,0,0,0,0,0,Japan
8564,8564,Jeep,Jeep Wrangler,335000.0,2022,1,272.0,0,petrol,2.0,0,0,0,0,0,0,United States
8565,8565,Hyundai,i25,27000.0,2012,2,124.0,0,petrol,1.6,0,0,0,0,0,0,South Korea
